"","player","team","position","id","avg_type","pass_att","pass_att_sd","pass_comp","pass_comp_sd","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_att","rush_att_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","return_tds","return_tds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","injury_status","injury_details","week","season_year"
"1","Patrick Mahomes","KC","QB","2558125","robust",38.25,0.444779999999996,25.85,0.444780000000001,297.55,9.19211999999998,2.5675,0.14826,0.745,0.0889560000000001,3.88352907536112,0.347100828521572,19.855,3.03933,0.145,0.029652,0.09625,0.0111195,0.13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Tom Brady","TB","QB","2504211","robust",39.9,2.81694,27.4,2.07564,292.25,22.83204,2.2075,0.252042,0.56,0.014826,1.27666666666667,0.14826,1.47,1.067472,0.0525,0.059304,0.2125,0.0185325,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Joe Burrow","CIN","QB","2563722","robust",35.95,0.148260000000002,23.95,0.444779999999996,295.7,10.096506,1.92,0.14826,0.9275,0.044478,3.335,0.59304,14,3.03933,0.1,0,0.09375,0.0185325,0.13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Josh Allen","BUF","QB","2560955","robust",36.9,1.69920660280156,23.9394881116938,0.296519999999999,272.875,20.7564,2.1,0.118608,0.805,0.014826,7.85,0.233808892181872,43.58,2.66868000000001,0.5,0.044478,0.235,0.051891,0.09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Justin Herbert","LAC","QB","2565045","robust",37.7739450952736,1.467774,24.8475,0.444780000000001,282.05,11.26776,2,0,0.9,0.133434,2.8375,1.01932690118838,10.03,5.604228,0.14,0.059304,0.09,0.029652,0.22,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Derek Carr","LVR","QB","2543499","robust",38.2,0.209267600749653,25.2,0.171585397618432,283.6,6.52343999999997,1.765,0.326172,0.8725,0.14826,2.3,0.148259999999999,9.425,1.586382,0.1,0,0.19375,0.0185325,0.06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Jalen Hurts","PHI","QB","2564832","robust",31.8184316322827,0.889560000000002,20.68,0.474432,248.9325,7.60573799999999,1.68,0.29652,0.705,0.014826,9.62518011254244,0.355824,46.59,2.416638,0.665,0.163086,0.11875,0.0259455,0.18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Carson Wentz","WAS","QB","2555259","robust",34.45,1.18608,22.349752962493,1.18461496876859,239.8125,19.214496,1.66,0.326172,0.85,0.103782,3.105,0.575433260264486,13.6925,0.889559999999999,0.1,0,0.195,0.014826,0.28,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Trevor Lawrence","JAC","QB","2566163","robust",34.8571188950669,1.77912,21.5,0.821962997497135,247.6,18.68076,1.68,0.29652,0.7475,0.103782,3.365,0.14826,14.875,1.03782,0.1,0,0.2325,0.096369,0.12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Zach Wilson","NYJ","QB","2566391","robust",34.455,1.33434,20.625,2.59455,232.7,37.065,1.2,0.207564,0.9475,0.14826,2.75092012565606,0.948864,13.15,0.593039999999998,0.105,0.014826,0.105,0.014826,0.11,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
