"","player","team","position","id","avg_type","pass_att","pass_att_sd","pass_comp","pass_comp_sd","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_att","rush_att_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","return_tds","return_tds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","idp_solo","idp_solo_sd","idp_sack","idp_sack_sd","idp_int","idp_int_sd","idp_pd","idp_pd_sd","idp_td","idp_td_sd","injury_status","injury_details","season_year","week"
"1","Tua Tagovailoa","MIA","QB","14778","robust",34.45,1.61326292809563,22.7967460432978,0.593039999999998,280.2275,2.81693999999997,2,0.163086,0.8,0.14826,2.6,0.29652,8.5075,3.40998,0.1,0,0.145,0.066717,0.06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Patrick Mahomes","KC","QB","13116","robust",37.1,0.207564000000001,24.86,0.711648000000001,296.2,10.67472,2.2075,0.222390000000001,0.8,0.163086,4.83742673141685,0.207129487994508,28.1575,0.993342000000003,0.185,0.029652,0.09375,0.0185325,0.16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Kirk Cousins","MIN","QB","10700","robust",37.45,1.77911999999999,25.3,0.889560000000002,274.6,17.064726,1.96,0.118608,0.87,0.0889560000000001,1.4,0.44478,5,0.29652,0.085,0,0.2125,0.0185325,0.13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Matthew Stafford","LAR","QB","9431","robust",36.1,0.296520000000004,23.65,0.444780000000001,268.9275,10.3782,1.64,0.14826,0.95,0.14826,2.05,0.14826,7.925,1.4826,0.0875,0,0.09625,0.0111195,0.09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Jared Goff","DET","QB","12611","robust",33.295,1.33434,22,1.4826,243.65,1.46777400000001,1.715,0.192738,0.69,0.0296519999999999,1.93,0.0889560000000001,5.3925,3.11346,0.1,0,0.1525,0.0630105,0.13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Josh Allen","BUF","QB","13589","robust",36.4725,0.625318152725714,24.5607597488787,0.593039999999998,268.085,1.58638199999999,2.0125,0.14826,0.915,0.044478,5.75,0.859908,31.9075,3.89923799999999,0.3,0.044478,0.2,0,0.16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Joe Burrow","CIN","QB","14777","robust",36.6,1.378818,24.0825,0.296520000000004,255.4,13.165488,1.7,0.22239,0.735,0.118608,2.01666666666667,0.19768,9.8775,6.96822,0.1,0.133434,0.10375,0.0111195,0.16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","C.J. Stroud","HOU","QB","16150","robust",34.5189635066266,1.156428,22.2945890929072,0.444780000000001,256.345,6.06383399999996,1.5,0.0889560000000001,0.52,0.14826,3.15,0.14826,13.4725,1.319514,0.1,0,0.2125,0.037065,0.05,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Dak Prescott","DAL","QB","12620","robust",34.4770932966213,0.7413,23.12,0.0593039999999987,243.8675,12.868968,1.455,0.0889560000000001,0.9,0.029652,3.1,0.44478,11.6,2.37216,0.1,0,0.1125,0.037065,0.16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Jimmy Garoppolo","LVR","QB","11760","robust",33.45,1.77912,22.305,0.444780000000001,253.6625,7.04235,1.5325,0.14826,1,0.044478,2.75,0.44478,8.9325,6.019356,0.1,0,0.1775,0.0333585,0.06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Sam Howell","WAS","QB","15693","robust",33.55,1.660512,22.29,1.18608,249.55,12.513144,1.4525,0.252042,0.85,0.14826,3.8,0.370613020039835,17.6,1.33434,0.2,0.029652,0.10625,0.0185325,0.05,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Trevor Lawrence","JAC","QB","15237","robust",36.0825,2.12555999308047,23.425,1.37187994801555,241.5875,6.37518000000002,1.245,0.29652,0.9,0.14826,5.08,0.652343999999999,22.355,2.787288,0.15,0.029652,0.26,0.059304,0.19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Jordan Love","GB","QB","14782","robust",33.995,2.07564,20.845,0.163085999999999,240.735,7.62056399999998,1.645,0.14826,0.85,0.14826,4.14118648141614,0.44478,15.96,4.862928,0.195,0.014826,0.0625,0.00741300000000001,0.11,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Jalen Hurts","PHI","QB","14783","robust",31.7620213303182,0.889560000000002,20.7263615772561,1.126776,240.59,8.74734000000001,1.3925,0.281694,0.59,0.14826,8.9,0.889559999999999,40.2825,5.63388,0.6,0,0.185,0.044478,0.16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Brock Purdy","SF","QB","15698","robust",30.5985243972302,1.33434,20.0334137634549,1.580963017207,240.6,11.26776,1.45,0.133434,0.5,0.237216,2.59,0.29652,8.35,3.55824,0.15,0.059304,0.1375,0.0555975,0.07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Ryan Tannehill","TEN","QB","10697","robust",31.9,2.2239,20.4825,0.7413,229.105,3.839934,1.15,0.14826,0.8,0.14826,2.59481698798637,0.14826,10.285,1.230558,0.1075,0,0.1075,0.022239,0.06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Daniel Jones","NYG","QB","14059","robust",32.755,0.282243261846411,22.084862214257,0.296519999999999,221.3325,13.002402,1.0675,0.103782,0.8,0.0889559999999999,7.25,0.412981599621153,37.7625,2.23872600000001,0.2925,0.014826,0.17875,0.0630105,0.16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Russell Wilson","DEN","QB","10703","robust",32.2205126492203,0.922252214936296,20.5975,1.11004892978368,226.685,11.445672,1.475,0.029652,0.65,0.0889559999999999,3.8,0.29652,18.17,3.306198,0.1,0,0.13,0.044478,0.03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Joshua Dobbs","ARI","QB","13119","robust",32.7863542555006,1.66452763841037,21.65,0.622692000000002,216.4825,11.697714,1.135,0.252042,0.6,0.177912,5.07,0.593039999999999,27.1,2.81694,0.185,0.029652,0.25,0.07413,0.08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
