"","player","team","position","id","avg_type","pass_att","pass_att_sd","pass_comp","pass_comp_sd","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_att","rush_att_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","return_tds","return_tds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","injury_status","injury_details","season_year","week"
"1","C.J. Stroud","HOU","QB","16150","robust",35.2825,0.963690000000003,22.45,0.815430000000001,275,6.6717,1.75,0.22239,0.74,0.22239,2.1,0.014826,8.3,0.7413,0.1,0,0.22,0.014826,0.07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Dak Prescott","DAL","QB","12620","robust",35.6,0.585626999999994,24.5312180573851,1.015581,281.3,7.11648000000002,2.2,0.252042,0.7025,0.155673,3.59820069505529,0.59304,14.255,2.9652,0.17,0.044478,0.1,0,0.06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Sam Howell","WAS","QB","15693","robust",36.97,1.275036,24.032819370642,1.178667,257.425,7.56125999999995,1.31,0.237216,0.96,0.088956,3.635,0.392889,18.3,1.4826,0.12,0.044478,0.1425,0.03150525,0.07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Josh Allen","BUF","QB","13589","robust",36.375,1.33434,25.025,1.89917693468797,267.7,8.45081999999998,1.825,0.289107,0.985,0,5.78083546055799,0.511496999999999,31.61,2.757636,0.43,0.14826,0.190625,0.00926625000000001,0.22,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Brock Purdy","SF","QB","15698","robust",30.05,1.55673,21.1264900090911,0.222390000000001,261.085,12.409362,1.745,0.155673,0.6,0.14826,3.05,0.0741300000000004,12.3025,2.157183,0.15,0.066717,0.1375,0.02779875,0.06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Jared Goff","DET","QB","12611","robust",34.71,0.7413,23.095,1.4826,256.8825,4.64795099999999,1.655,0.348411,0.765,0.088956,1.9,0.29652,5.115,3.009678,0.0925,0.00741300000000001,0.116875,0.01667925,0.13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Tua Tagovailoa","MIA","QB","14778","robust",33.2,1.015581,22.665,0.37065,262.9825,6.10089899999997,1.7725,0.140847,0.9,0.14826,2.43410139811506,0.281694,6.84,1.245384,0.05,0.059304,0.20375,0.0037065,0.03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Patrick Mahomes","KC","QB","13116","robust",36.9,1.282449,24.55,1.98999162788561,266.35,10.3782,1.9,0.14826,0.815,0.177912,5,0.029652,27.925,1.868076,0.1,0,0.13,0.022239,0.09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Justin Herbert","LAC","QB","14779","robust",35.9,1.63086,23.6,1.267623,255.165,18.287871,1.65,0.200151,0.8125,0.163086,4.69708449528046,0.452193,18.215,2.861418,0.15,0.051891,0.0575,0.02038575,0.13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Geno Smith","SEA","QB","11150","robust",33.8,1.82375266595468,22.5,1.03715143079064,242.1,18.747477,1.2,0.192738,0.9,0.14826,2.4921242064465,0.29652,9.575,1.000755,0.0475,0.066717,0.17375,0.0259455,0.03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Trevor Lawrence","JAC","QB","15237","robust",35.8127697630084,0.258655098727581,24.1434875631261,0.27720932218162,254.7425,5.16686100000002,1.325,0.126021,0.8,0.126021,4.8,0.29652,21.65,0.889559999999999,0.195,0.066717,0.29,0.066717,0.13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Gardner Minshew","IND","QB","14067","robust",32.1,0.963689999999998,21.175,0.978516,233.9,9.78515999999999,1.2,0.22239,0.8,0.126021,2.77978192406074,0.533089361224915,9.05,1.55673,0.1,0.051891,0.27,0.051891,0.13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Jordan Love","GB","QB","14782","robust",34.6058813003106,1.03782,21.2,0.800315526413832,241.45,7.04235,1.405,0.200151,1,0.07413,3.4,0.339977539259971,15.15,0.696822,0.1,0,0.059375,0.00926625,0.1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Derek Carr","NO","QB","11644","robust",33.9,1.08005016737153,22.0624480909017,0.629951079141865,235.5825,7.95414899999999,1.285,0.37065,0.765,0.103782,1.47710220587123,0.110015460849385,5.05,0.289107,0,0,0.105625,0.00555975,0.06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Lamar Jackson","BAL","QB","13593","robust",31.1,1.415883,21.0760075634579,1.601208,240.5375,11.623584,1.36,0.289107,0.705,0.051891,8.305,0.533736,47.45,2.66868,0.3725,0.051891,0.27,0.051891,0.09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Baker Mayfield","TB","QB","13590","robust",34.1154144259921,1.4826,22.1849241157311,1.01546849398288,243.5,8.00604000000001,1.36,0.14826,0.85,0.103782,3.75,0.303933,13.275,2.246139,0.0525,0.07413,0.109375,0.00926625,0.13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Jalen Hurts","PHI","QB","14783","robust",31.963099686535,0.554196809486466,21.4225,0.726095359688993,239.915,10.014963,1.53,0.103782,0.845,0.14826,9.025,0.96369,38.55,3.669435,0.7,0.207564,0.19625,0.0037065,0.13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Joshua Dobbs","MIN","QB","13119","robust",34.1925,1.882902,22.6025,0.889560000000002,228.7775,11.41602,1.44,0.44478,0.79,0.0444779999999999,5.52,0.652344000000001,27.675,2.81694,0.35,0.07413,0.405,0.155673,0.13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Matthew Stafford","LAR","QB","9431","robust",32.2458253114293,0.654791213450236,21.0226653087103,0.511987173387724,243.25,2.2239,1.3875,0.311346,0.8075,0.126021,1.75,0.22239,5.8,1.586382,0.0425,0.044478,0.090625,0.00926625,0.09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Bryce Young","CAR","QB","16148","robust",32.769108608345,2.008923,20.5775946133849,0.770952000000002,209.6975,18.614043,1.045,0.044478,0.8,0.0741300000000001,3.35,0.51891,13.5475,0.7413,0.1,0,0.1725,0.02038575,0.07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Tim Boyle","NYJ","QB","13873","robust",31.4,1.89177419530468,18.525,2.20683962880118,196.63,12.683643,0.9,0.14826,1.2,0.29652,1.84340317218842,0.53105791382691,8.435,1.63086,0.0475,0.066717,0.150625,0.05003775,0.08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
