"","player","team","position","id","avg_type","pass_att","pass_att_sd","pass_comp","pass_comp_sd","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_att","rush_att_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","return_tds","return_tds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","injury_status","injury_details","week","season_year"
"1","Patrick Mahomes","KC","QB","2558125","robust",38.7410390094984,1.808772,25.85,1.289862,312.9,20.90466,2.31,0.22239,0.845,0.133434,3.7,0.233508466705415,21.1,1.363992,0.1925,0,0.10875,0.0259455,0.14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Tom Brady","TB","QB","2504211","robust",41.1396661389592,4.4478,27.55,2.9652,278.35,9.93341999999998,1.8,0.29652,0.7,0,1.285,0.234745,1.03375,1.03782,0.05,0.07413,0.1925,0.022239,0.03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Justin Herbert","LAC","QB","2565045","robust",39.1683777300946,1.03782,26.6839762177709,0.444780000000001,283.97,6.70135199999997,1.8,0.029652,0.8,0,3.19207507939215,0.29652,12.375,0.889560000000002,0.1,0,0.09125,0.0259455,0.22,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Tua Tagovailoa","MIA","QB","2564499","robust",33.8346239452545,2.031162,22.1901726670477,2.04496401534022,266.96,15.86382,1.855,0.14826,0.8,0.14826,2.3092134442693,0.29652,8.5,0.429953999999999,0.1,0,0.11,0.029652,0.06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Geno Smith","SEA","QB","2539335","robust",34.9275,2.81694,23.4464138786095,1.586382,259.395,21.20118,1.825,0.14826,0.805,0.14826,3.6825,0.14826,16.465,1.289862,0.1,0,0.22,0.029652,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Kirk Cousins","MIN","QB","2532820","robust",36.15,0.444779999999996,23.1789602021774,0.148259999999997,265.2,5.42631600000004,1.9325,0.14826,0.7,0,2.18641534979383,0.59304,5.335,0.637518,0.09,0,0.135,0.051891,0.13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Josh Allen","BUF","QB","2560955","robust",33.8694924185508,0.593039999999998,21.583020123625,0.148260000000002,261.9,8.59908000000002,1.9775,0.14826,0.815,0.0296519999999999,8.825,0.252115234699605,51.5,9.592422,0.455,0.14826,0.29375,0.0185325,0.13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Jared Goff","DET","QB","2555334","robust",35.3,2.25355199999999,22.7,0.889559999999997,246.6,21.6459599999999,1.6875,0.29652,0.695,0.044478,1.35,0.360766,4.35,1.18608,0,0,0.19625,0.0111195,0.23,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Trevor Lawrence","JAC","QB","2566163","robust",34.9,1.2504992244601,22,1.59887699008398,237.25,7.501956,1.29,0.14826,0.85,0.14826,3.745,0.7413,17.175,3.024504,0.1525,0.059304,0.325,0.037065,0.16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Joe Burrow","CIN","QB","2563722","robust",34.2,1.63085999999999,22.6246528287311,0.150318864493119,259.7825,4.84810199999997,1.82,0.177912,0.8575,0.133434,4,0.163086,16,1.897728,0.2,0,0.11,0.029652,0.16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Derek Carr","LVR","QB","2543499","robust",32.12,2.66868,19.995,1.18608,243.925,11.668062,1.5925,0.59304,0.9,0.133434,1.27958333333333,0.281694,4.3575,1.156428,0,0,0.10375,0.0111195,0.06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Aaron Rodgers","GB","QB","2506363","robust",32.905,1.18608,21.805,0.978516,239.875,15.893472,1.88,0.281694,0.61,0.14826,1.5,0.27181,4.725,1.18608,0.0925,0,0.14,0.059304,0.06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
