"","player","team","position","id","avg_type","pass_att","pass_att_sd","pass_comp","pass_comp_sd","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_att","rush_att_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","return_tds","return_tds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","injury_status","injury_details","season_year","week"
"1","Tua Tagovailoa","MIA","QB","14778","robust",33.1125,NA,22.075,NA,250.29875,8.73251399999998,1.215,NA,0.81,NA,1.8,0.14826,5.6,0.889559999999999,0,0,0.1,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Matthew Stafford","LAR","QB","9431","robust",35.01,NA,22.575,NA,269.1675,2.95778700000001,1.675,NA,0.39,NA,0.95,0.934038,2.7,3.40998,0.03,0,0.05,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Dak Prescott","DAL","QB","12620","robust",35.2675,NA,24.075,NA,271.6375,5.72654250000002,2.075,NA,0.76,NA,2.9,0.7413,13.115,1.33434,0.155,0.014826,0.05,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Patrick Mahomes","KC","QB","13116","robust",35.38,NA,23.685,NA,253.88,5.12979600000001,1.5825,NA,0.71,NA,5.235,0.7413,26.5,5.63388,0.1,0,0.05,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Jared Goff","DET","QB","12611","robust",36.18,NA,23.505,NA,262.16,1.42329599999997,1.65,NA,0.655,NA,1.17,0.14826,3.35,1.03782,0.03,0,0.1,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Jordan Love","GB","QB","14782","robust",34.1,NA,21.375,NA,247.93,8.851122,1.675,NA,0.725,NA,3.05,0.14826,12.2,1.77912,0.125,0,0.1,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Joe Flacco","CLE","QB","9064","robust",35.255,NA,20.85,NA,259.48875,3.83993399999996,1.5025,NA,0.9,NA,1.06,1.03782,4.055,1.942206,0,0,0.1,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Baker Mayfield","TB","QB","13590","robust",33.705,NA,21.66,NA,246.8975,2.81323350000001,1.415,NA,0.725,NA,2.4,0.14826,8.115,3.11346,0.1,0,0.1,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Ankle",2023,19
"9","C.J. Stroud","HOU","QB","16150","robust",33.705,NA,21.0125,NA,254.7675,2.62049549999998,1.405,NA,0.3175,NA,2.835,0.14826,11.5,1.4826,0.1,0.044478,0.1,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Josh Allen","BUF","QB","13589","robust",28.09,NA,18.195,NA,218.96,31.905552,1.19,NA,0.715,NA,8.3,0.0148259999999997,42.5,0.0593039999999987,0.64,0.029652,0.1,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
