"","player","team","position","id","avg_type","pass_att","pass_att_sd","pass_comp","pass_comp_sd","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_att","rush_att_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","return_tds","return_tds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","injury_status","injury_details","season_year","week"
"1","Patrick Mahomes","KC","QB","13116","robust",38.5,0.963689999999998,25.85,0.59304,295.7,13.580616,2.15,0.14826,0.8,0.163086,4.4591290523291,0.397719465966236,25.85,3.172764,0.15,0.07413,0.0625,0.00926625,0.16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Tua Tagovailoa","MIA","QB","14778","robust",35.6137408852252,0.333585000000002,24.3355118074066,0.650826388677839,299.43,3.33585,1.95,0.0741300000000001,0.9,0.133434,2.1,0.196262194982724,5.2,0.622692,0.04,0.044478,0.115,0.014826,0.03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Jalen Hurts","PHI","QB","14783","robust",33.355984951545,1.83550342167868,21.9,1.03782,253.905,6.66428699999999,1.4125,0.266868,0.77,0.118608,9.00202400866076,0.154261590480889,41.5,1.4826,0.7,0.118608,0.1375,0.02779875,0.13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Kirk Cousins","MIN","QB","10700","robust",36.8,2.391252278022,24.8,1.68072285732694,261.9,22.09074,1.3775,0.355824,0.845,0.07413,1.59597652740341,0.51891,5.24,1.03782,0.035,0,0.2625,0.04633125,0.13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Josh Allen","BUF","QB","13589","robust",35.2,2.438877,24.075,1.660512,255.725,11.1195,1.865,0.177912,0.93,0.07413,4.7,1.03782,25.1,1.26021,0.25,0.07413,0.179375,0.02038575,0.16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Justin Herbert","LAC","QB","14779","robust",37.2596030929884,2.14977,25.4,1.534491,265.5225,17.7912,1.7,0.289107,0.8125,0.14826,4.2,0.236960835166258,14.975,1.4826,0.18,0.00741300000000001,0.086875,0.01297275,0.16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Jared Goff","DET","QB","12611","robust",35.35,1.4826,23.28,1.586382,253.58,9.81481199999999,1.36,0.22239,0.75,0.252042,2.09,0.29652,5.195,2.045988,0.0825,0.014826,0.18125,0.0185325,0.13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Matthew Stafford","LAR","QB","9431","robust",34.3,0.444779999999996,22.4814472455941,0.7413,261.9,9.6369,1.5375,0.348411,0.8875,0.14826,1.74943192095635,0.372334467980232,5.8,0.518910000000001,0.07,0.029652,0.0925,0.00741300000000001,0.09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Derek Carr","NO","QB","11644","robust",33.95,2.69460133908369,21.8,1.667925,235.0725,11.304825,1.265,0.22239,0.8,0.185325,1.72,0.29652,4.525,1.237971,0.0425,0.037065,0.105625,0.00555975,0.03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Geno Smith","SEA","QB","11150","robust",33.8378041320004,0.815430000000001,23.17,0.518909999999999,256.875,11.49015,1.7975,0.22239,0.795,0.29652,2.93459144768241,0.222390000000001,13.925,0.815429999999998,0.075,0.07413,0.098125,0.00185325,0.03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
