"","player","team","position","id","avg_type","pass_att","pass_att_sd","pass_comp","pass_comp_sd","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_att","rush_att_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","return_tds","return_tds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","injury_status","injury_details","week","season_year"
"1","Tom Brady","TB","QB","2504211","robust",666.622009702829,27.8284020000001,445.08,24.98181,4838.65,189.0315,37.325,2.453703,11.765,0.859908,27.4525,5.255817,51.2775,8.903013,1.6,0.22239,2.29875,0.1000755,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Patrick Mahomes","KC","QB","2558125","robust",643.82564224697,23.4053167651942,422,12.3872759669601,4851.75,244.629,37.4,3.55824,11.6225,1.801359,65.9090642074438,4.4478,351.4,22.68378,2.685,0.785778,2.4325,0.0667169999999999,1.69,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Derek Carr","LVR","QB","2543499","robust",613.269932509262,33.50676,404.193166611576,30.7074342092451,4629.6475,317.113313999999,29,3.002265,11.8625,1.26021,39.225,1.5133919981786,129.905,15.107694,1.5,0.378063,4.42,0.607866,1.06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Justin Herbert","LAC","QB","2565045","robust",648.547429673221,23.8067452335174,432.14526161138,18.5625398650317,4796.4725,136.3992,34.805,2.060814,13.1225,1.63086,63.522155301417,4.22064993324531,290.4,20.882421,3.15,0.22239,0.9325,0.02409225,3.72,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Aaron Rodgers","GB","QB","2506363","robust",563.61,31.668336,380.555,15.19665,4305.425,213.264596999999,34.505,2.44629,6.05,1.55673,35.75,3.48411,120,24.61116,2.3775,0.808017,1.04875,0.0481845,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Dak Prescott","DAL","QB","2555260","robust",603.573896944057,18.4059882279207,407.938858404115,15.9709870601172,4523.3175,123.596949,33.775,1.29727499999999,12,1.4826,56.2175,4.944471,214.9,37.065,2.4925,0.578214,4.7125,0.45404625,5.03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Matthew Stafford","LAR","QB","79860","robust",591.506349789822,24.780911830213,397.586024220248,18.04627901788,4600.2,170.499,34.86,2.735397,14.4475,1.601208,33.13,6.43448400000001,83.175,34.98936,1.015,1.119363,1.655,0.0481845,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Joe Burrow","CIN","QB","2563722","robust",579.822916188748,13.9074050414371,393.164581878794,8.70286199999996,4616.23,126.7623,30.69,0.978516000000003,12.225,2.74281,43.9363320620325,11.3620858726952,163.2,42.9954,2.1,0.0518910000000002,1.5075,0.21683025,1.15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Josh Allen","BUF","QB","2560955","robust",622.5975,21.742329,403.434915709652,14.0847,4475.8975,192.738,36.1675,1.40847,13.45,0.66717,120,5.87088703160452,683.3825,48.903561,6.7375,0.778365,2.9725,0.0203857499999999,1.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Russell Wilson","DEN","QB","2532975","robust",555.120458522396,19.05141,364.135080736044,25.8414786014829,4224.325,141.36591,30.0975,1.55673,9.3,0.44478,58.4573261853916,11.1195,277.45,42.7062930000001,2.1,0.0741300000000001,1.515,0.3595305,1.06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
