#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,AVG,TTL
31,Jonathan Taylor,RB,IND,11.9,18,12.7,8.4,14.4,13.5,BYE,4.1,8.4,4.7,13.4,-,21,29.5,17.5,19.4,37.9,15.7,234.8,32
32,DeAndre Hopkins,WR,FA,22.1,16.8,18.7,7.6,22.1,8.3,19.3,-,4.5,22.2,7.6,8,15.2,18.1,25.5,8.8,5.5,14.4,230.3,33
33,Justin Jefferson,WR,MIN,3.6,5.9,27,12.3,3.8,35.1,BYE,4.1,7.9,17.5,16.1,22.5,22.8,7.9,14.4,11.5,17.8,14.4,230.2,34
34,DK Metcalf,WR,SEA,17.5,17.2,17,12.6,24.3,BYE,3.3,34.1,20.3,3.8,12.1,22.7,10.5,15.1,6.8,8.9,3.6,14.4,229.8,35
35,James Robinson,RB,NE,9.5,19.5,27.9,12.7,7.5,13.3,29.7,-,15.9,12.2,10.4,24.4,19.8,10.3,12.8,-,-,16.1,225.9,36
36,Darren Waller,TE,NYG,7.5,22.5,1.9,11.3,13.3,-,14,5.2,10.7,5.2,18.3,4.3,38.5,11,25.5,13.7,22.2,14.1,225.1,37
37,Adam Thielen,WR,CAR,28,4.6,10.8,22.2,24.8,12.6,-,4.2,4.8,18.3,28.3,-,17.5,5.4,8.1,19.7,7.7,14.5,217,38
38,Drew Brees,QB,FA,14.4,15.5,23.5,16.5,22.1,-,23.7,19.6,22.7,6.9,-,-,-,-,20.4,10.1,20,18,215.5,39
39,Tyler Lockett,WR,SEA,13.2,16.2,32.5,4.9,6.4,BYE,45.5,5.3,6,9.1,17.2,3.8,9.3,7.7,5.4,5.9,27,13.5,215.4,40
40,Josh Jacobs,RB,LV,33.9,12,7.8,8.8,21.5,BYE,4.6,12.9,13.3,27.6,12.9,3.9,-,8.9,18.9,6.9,20.9,14.3,214.8,41
41,Mike Evans,WR,TB,6.7,19.9,13.2,21.7,12.6,1.5,4.7,14,8.4,16.7,13.4,18.5,BYE,7.1,14,35.1,6.1,13.4,213.6,42
42,Carson Wentz,QB,FA,15,14.4,23.5,22.4,19.4,29.4,28.8,10.6,-,8.7,16.4,19.8,5,-,-,-,-,17.8,213.4,43
43,A.J. Brown,WR,PHI,6.4,-,-,-,17.7,20.3,24.3,10.4,18.1,2.6,14.2,23.8,8.7,20.7,12.9,6.3,26.1,15.2,212.5,44
