"","player","team","position","id","avg_type","pass_att","pass_att_sd","pass_comp","pass_comp_sd","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_att","rush_att_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","return_tds","return_tds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","injury_status","injury_details","season_year","week"
"1","Tua Tagovailoa","MIA","QB","14778","robust",33.4687944988292,1.882902,22.8489761715446,0.907421856136055,272.23,7.56125999999999,1.61,0.163086,0.875,0.14826,1.95,0.0741300000000001,5.6,0.88956,0.0475,0.044478,0.235,0.0259455,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Nick Mullens","MIN","QB","13968","robust",36.1686367713206,0.491279122840084,23.4189454186256,0.574314348230465,264.6575,5.092731,1.41,0.29652,0.965,0.051891,2.14449052415454,0.496671,8.5,3.654609,0.0825,0.096369,0.1725,0.02038575,0.09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Dak Prescott","DAL","QB","12620","robust",36.2248584034711,1.52665813797251,24.375,1.33434,270.34,8.53977600000003,1.85,0.22239,0.9,0.14826,3.775,0.467019,15,2.579724,0.1,0,0.11125,0.0111195,0.09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Brock Purdy","SF","QB","15698","robust",31.45,0.896503133723432,21.315,0.387525922136703,271.825,9.94824600000001,1.895,0.140847,0.6,0.14826,2.8,0.29652,10.14,2.9652,0.1,0,0.08875,0.0111195,0.05,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Baker Mayfield","TB","QB","13590","robust",33.7025683167948,0.822843000000005,21.6788156061408,0.303933000000003,247.39,11.994234,1.6975,0.452193,0.9,0.126021,3.1,0.41139105086637,10.515,2.2239,0.1,0.014826,0.17,0.029652,0.06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Josh Allen","BUF","QB","13589","robust",34.7,2.097879,23.225,1.660512,255.75,11.075022,1.89,0.133434,0.905,0.014826,6.65,0.200151,35.6025,0.882147000000004,0.55,0.0741300000000001,0.1925,0.00741300000000001,0.22,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Jared Goff","DET","QB","12611","robust",34.75,0.444780000000001,23.35,0.163085999999999,257.3725,9.6369,1.7375,0.163086,0.77,0.237216,1.775,0.29652,3.6,0.88956,0.085,0.014826,0.179375,0.02038575,0.16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Patrick Mahomes","KC","QB","13116","robust",37.036165847366,1.1450589706096,24.8528231615113,1.104537,267.305,7.57608600000002,1.91,0.00741300000000001,0.8,0.192738,4.325,0.29652,23.0425,1.208319,0.1,0,0.085,0.014826,0.09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Trevor Lawrence","JAC","QB","15237","robust",36.2518400743229,1.03782,23.8879723541843,0.889559999999999,261.9,10.889697,1.34,0.22239,0.7925,0.103782,4.07999349641939,0.118598357791386,18.5,0.815430000000001,0.2,0.014826,0.29625,0.0037065,0.16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Concussion",2023,16
"10","Joe Flacco","CLE","QB","9064","robust",37.2810815541059,0.685203024234863,22.049834911357,0.592550479155723,253.7,2.52041999999998,1.285,0.252042,0.9375,0.14826,1.54833333333333,0.365708,3.6,3.350676,0.03,0,0.19125,0.0259455,0.03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Jake Browning","CIN","QB","14358","robust",33.12,0.7413,21.8925,0.296519999999999,250.86,6.90891599999999,1.4,0.14826,0.9,0.14826,3.195,0.0148260000000003,12.3325,1.55673,0.1275,0.029652,0.0875,0.037065,0.05,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Geno Smith","SEA","QB","11150","robust",32.9464508416094,0.375911982229848,22.1036134111539,0.222390000000001,251.4,6.37518,1.3225,0.14826,0.8025,0.155673,2.65,0.51891,10.415,1.11195,0.1,0.007413,0.1425,0.03150525,0.03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Matthew Stafford","LAR","QB","9431","robust",33.55,0.603555990744254,20.828550832779,0.91491492935638,238.5,3.70650000000002,1.6475,0.14826,0.845,0.22239,1.525,0.229803,4.675,0.44478,0.025,0,0.08875,0.0111195,0.06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Jordan Love","GB","QB","14782","robust",33.2060638529785,1.008168,20.9,0.244628999999999,233.65,11.1195,1.63,0.155673,0.895,0.126021,3.15,0.37065,13.34,1.92738,0.1075,0.022239,0.14,0.029652,0.09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Lamar Jackson","BAL","QB","13593","robust",31.3985895496905,1.53449100000001,20.8892997774154,0.289107,226.71,13.380465,1.165,0.14826,0.62,0.192738,9.4,0.637518000000001,54.45,4.04749799999999,0.25,0.029652,0.2225,0.01667925,0.06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Derek Carr","NO","QB","11644","robust",33.2129187801771,0.7413,21.6739030597641,1.1654673235938,236.0975,5.22616500000001,1.275,0.185325,0.75,0.111195,1.555,0.125327329801562,4.35,0.756126,0,0,0.135,0.0259455,0.06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Jalen Hurts","PHI","QB","14783","robust",31.135,1.18608,20.325,0.37065,233,5.1891,1.4,0.29652,0.83,0.14826,9.9875,0.111194999999999,45.595,2.097879,0.8175,0.096369,0.235,0.0259455,0.13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Sam Howell","WAS","QB","15693","robust",33.375,0.82284300000001,21.4746524890283,0.756126,219.515,9.614661,1.1,0.14826,0.985,0.126021,3.725,0.259455,17.755,1.645686,0.195,0.014826,0.113125,0.01297275,0.09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Drew Lock","SEA","QB","14057","robust",1.3,NA,0.8,NA,65.775,57.64843,0.375,0.34594,0.25,0.2471,0.6,0.54362,2.45,2.19919,0.025,0.02471,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Aidan O'Connell","LVR","QB","16159","robust",32.3082960323127,0.469379395013602,20.2708033242087,0.696822000000003,219.63,6.760656,1.0625,0.14826,0.92,0.0593039999999999,1.25,0.29652,3.65,1.63086,0.05,0.07413,0.1375,0.0555975,0.05,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Easton Stick","LAC","QB","14069","robust",35.0925,0.444779999999996,22.1238187284409,0.0514834128541909,233.71,1.86807599999999,1.075,0.14826,0.9,0.14826,2.49989354867754,0.494410432974232,11.48,0.415127999999999,0.1,0,0.21,0.133434,0.06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
