"","player","team","position","id","avg_type","pass_att","pass_att_sd","pass_comp","pass_comp_sd","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_att","rush_att_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","return_tds","return_tds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","injury_status","injury_details","week","season_year"
"1","Aaron Rodgers","GB","QB","2506363","robust",36,1.4826,23.3391186221105,1.2549830765642,289.9,13.506486,2.04,0.0889560000000001,0.367542056330215,0.0962442945696476,1.9,0.29652,7.345,0.889559999999999,0.1,0.014826,0.08,0.014826,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Tom Brady","TB","QB","2504211","robust",40.05,1.03782,26.225,1.03782,302.4,18.8290200000001,2.39,0.385476,0.7,0.0711760868356552,1.67875,0.29652,2.865,0.118608,0.095,0.014826,0.08625,0.0111195,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Justin Herbert","LAC","QB","2565045","robust",39.825,2.77903045273714,26.2,1.63086,299.1,11.71254,2,0,0.941560330784166,0.133434,4.2675,0.29652,23.175,1.77912,0.2,0,0.07,0.029652,0.17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Matthew Stafford","LAR","QB","79860","robust",35.6125,0.7413,23.9,1.33434,289.5725,6.37518000000002,2,0.118608,0.628159459320188,0.14826,1.5,0.14826,3.6,0.741299999999999,0.015,0,0.095,0.014826,0.13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Kyler Murray","ARI","QB","2562382","robust",32.15,0.296520000000004,22.1,1.63086,267.65,16.189992,1.935,0.133434,0.595993812829097,0.0889559999999999,7.615,0.558470546798187,33.1525,1.77912,0.345,0.14826,0.14,0.059304,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Dak Prescott","DAL","QB","2555260","robust",38.45,1.63086,25.65,0.7413,288.8,8.8956,1.95,0.14826,0.729971505668292,0.14826,3.1,0.29652,10.96,1.03782,0.1,0.014826,0.2125,0.0185325,0.26,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Patrick Mahomes","KC","QB","2558125","robust",37.1047978788665,0.7413,24.3875,0.148260000000002,273.3225,3.55823999999997,2,0,0.6,0.0671388669173889,3.9,0,19.53,1.097124,0.2,0,0.1825,0.051891,0.09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Josh Allen","BUF","QB","2560955","robust",34.6960365871649,1.22441062347727,22.6312012761961,0.797041975823463,246.945,8.8956,1.99,0.14826,0.9,0.150522153124486,7.3,0.44478,40.125,2.07564,0.38,0.14826,0.29125,0.0259455,0.03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Kirk Cousins","MIN","QB","2532820","robust",34.675,0.530461485664571,23.1413361647397,0.419089995686169,270.8775,5.88592200000004,2,0,0.724889528352083,0.14826,2.19,0.548562,6.23,1.63086,0.09,0.014826,0.18,0.059304,0.16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Derek Carr","LVR","QB","2543499","robust",34.9506635929439,0.889559999999991,23.5304998454664,0.993342000000003,269,3.09863400000005,1.6875,0.29652,0.826557287765102,0.0833653393621619,2.1925,0.0148260000000003,7.7,0.889559999999999,0.085,0.029652,0.24,0.059304,0.03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
