"","player","team","position","id","avg_type","pass_att","pass_att_sd","pass_comp","pass_comp_sd","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_att","rush_att_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","return_tds","return_tds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","idp_solo","idp_solo_sd","idp_sack","idp_sack_sd","idp_int","idp_int_sd","idp_pd","idp_pd_sd","idp_td","idp_td_sd","injury_status","injury_details","season_year","week"
"1","Patrick Mahomes","KC","QB","13116","robust",37.85,0.252042000000003,24.95,0.0296519999999994,308.9925,11.579106,2.205,0.163086,0.755,0.14826,3.80369286259317,0.140959949225823,21.0075,1.03782,0.195,0,0.09625,0.0111195,0.17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Kirk Cousins","MIN","QB","10700","robust",36.7025,2.653854,24.75,2.66868,274.7,11.8608,1.95,0.0889560000000001,0.775,0.0741300000000001,1.595,0.14826,5,1.4826,0.085,0,0.105,0.014826,0.13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Justin Herbert","LAC","QB","14779","robust",38.6,2.37216,25.85,1.378818,281.3025,17.183334,1.955,0.0889560000000001,0.9,0.14826,3.3,0.14826,11.975,1.4826,0.1,0,0.09125,0.0259455,0.16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Jimmy Garoppolo","LVR","QB","11760","robust",33.445,1.868076,21.57,1.63086,245.075,23.57334,1.4,0.237216,0.9,0.192738,1.935,0.192738,4.475,1.4826,0.0925,0,0.095,0.00741300000000001,0.03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Josh Allen","BUF","QB","13589","robust",35.0477305182651,0.800603999999999,22.2055687631113,0.576527503622232,252.69,12.261102,1.77,0.29652,0.94,0.103782,7.12464289953951,0.29652,39,0.444779999999996,0.345,0.14826,0.20375,0.0111195,0.16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Joe Burrow","CIN","QB","14777","robust",35.5740490260315,1.4826,24.025,0.388972090828502,268.8,3.69167400000001,1.8925,0.14826,0.85,0.0889559999999999,3.8,0.7413,15.7,2.861418,0.2,0,0.105,0.014826,0.16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Tua Tagovailoa","MIA","QB","14778","robust",34.9349795834793,1.24538399999999,22.3957624910162,1.15190612327739,272.555,5.90074799999994,1.8,0.14826,0.86,0.14826,2.35,0.14826,7.3525,2.579724,0.09,0,0.10875,0.0259455,0.06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Geno Smith","SEA","QB","11150","robust",33.64,1.601208,23.06,0.770951999999999,255.225,23.42508,1.85,0.14826,0.6475,0.0296519999999999,3.5,0.14826,17.625,0.7413,0.1,0,0.2,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Baker Mayfield","TB","QB","13590","robust",35.3226383768884,1.54972731514946,22.2480001451951,1.03189003053254,245.6425,2.07564000000001,1.35,0.14826,0.8,0.0741300000000001,2.87,0.14826,10.05,1.527078,0.1,0,0.1825,0.051891,0.09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Jared Goff","DET","QB","12611","robust",36.15,1.171254,23.75,0.444780000000001,262.125,5.63388000000002,1.7125,0.14826,0.72,0.118608,1.8125,0.0741300000000001,4.2,0.59304,0.05,0.044478,0.1975,0.00741300000000001,0.24,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
