"","player","team","position","id","avg_type","pass_att","pass_att_sd","pass_comp","pass_comp_sd","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_att","rush_att_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","return_tds","return_tds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","injury_status","injury_details","week","season_year"
"1","Joe Burrow","CIN","QB","2563722","robust",33.59,2.25355199999999,22.65,0.593039999999998,269.3,7.66504200000002,1.8625,0.29652,0.933276566481665,0.0460131166209548,2.30354954698398,0.44478,10.2825,0.444780000000001,0.109282263749083,0.014826,0.146666666666667,0,0.05,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Justin Herbert","LAC","QB","2565045","robust",36.4274051068116,0.222389999999998,24.35,1.03782,275.4975,9.11798999999997,1.91,0.103782,1.0075,0.14826,4.1,0.148259999999999,20.2875,0.444780000000001,0.19,0.029652,0.06,0,0.19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Dak Prescott","DAL","QB","2555260","robust",36.0175,1.03781999999999,24.3075,0.7413,267.31,7.82812799999996,2,0.207564,0.598472241221296,0.0639221299892584,3.4,0.14826,14.115,1.616034,0.105,0.044478,0.22,0,0.26,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Jimmy Garoppolo","SF","QB","2543801","robust",10.5,0,7.25,0,89,0,0.45,0,0.55,0,0.5,0,1.5,0,0.00875,0,0.1,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D","Thumb",17,2021
"5","Tom Brady","TB","QB","2504211","robust",38.8549264563906,0.148260000000002,25.4518345431376,0.400301999999999,292.4,6.81996000000003,2.2525,0.489258,0.441801186881651,0.150332120658529,1.47916666666667,0.44478,4.215,1.808772,0.095,0.009884,0.0866666666666667,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Kirk Cousins","MIN","QB","2532820","robust",38,NA,27,NA,315,0,1,NA,1,NA,4,NA,17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Illness",17,2021
"7","Josh Allen","BUF","QB","2560955","robust",37.1025671670553,1.18608,24.3614362109876,0.637518,278.3,12.7651859999999,2.3,0.44478,0.8,0.0145648700718457,7.8,1.33684764060107,40.15,7.11648,0.3,0,0.18,0,0.03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Josh Johnson","BAL","QB","264","robust",20.05,29.57787,14.035,20.704509,152.5,224.6139,1.005,1.475187,0.5,0.7413,2.505,3.699087,5.025,7.375935,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Patrick Mahomes","KC","QB","2558125","robust",38.1379362481619,1.71981599999999,25.025,0.225861060603073,290.205,17.0499,2.0675,0.044478,0.557981619420557,0.124592902094165,3.75,NA,19.2858333333333,1.279978,0.102229490177122,0.00661088427320229,0.116666666666667,0,0.13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Matthew Stafford","LAR","QB","79860","robust",35.85,2.253552,23.0247261399787,1.4826,285.155,2.62420199999997,2,0.0741299999999997,0.7175,0.192738,1.6475,0.140847,5.07,3.7065,0.0616666666666667,0.054362,0.0766666666666667,0,0.13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
