"","player","team","position","id","avg_type","pass_att","pass_att_sd","pass_comp","pass_comp_sd","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_att","rush_att_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","return_tds","return_tds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","injury_status","injury_details","week","season_year"
"1","Tom Brady","TB","QB","2504211","robust",38.815,NA,25.88,NA,280.5975,2.97631949999999,1.585,NA,0.63,NA,1.215,0.14826,2.05,0.0889560000000001,0.02,0,0.2,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Kirk Cousins","MIN","QB","2532820","robust",37.22,NA,23.8425,NA,277.825,16.568055,1.905,NA,0.735,NA,1.17,0.59304,3.74,0.889559999999999,0.05,0.044478,0.2,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Joe Burrow","CIN","QB","2563722","robust",33.825,NA,22.85,NA,268.44,5.100144,1.8925,NA,0.73,NA,3.955,0.133434,14.2,0.59304,0.18,0,0.25,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Justin Herbert","LAC","QB","2565045","robust",35.575,NA,24.0125,NA,273.74375,3.13199250000002,1.735,NA,0.695,NA,2.65,0.415128,10.385,1.33434,0.1,0,0.2,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Josh Allen","BUF","QB","2560955","robust",33.105,NA,21.7275,NA,263.2,4.87775400000003,2.01,NA,0.87,NA,8,0,44.2,3.26172,0.6,0.029652,0.3,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Dak Prescott","DAL","QB","2555260","robust",33.0525,NA,22.0975,NA,254.355,6.45672300000003,1.8,NA,0.86,NA,4,0,16.1,1.63086,0.1,0,0.2,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Trevor Lawrence","JAC","QB","2566163","robust",33.99,NA,21.2425,NA,247.31,7.22026200000001,1.15,NA,0.71,NA,3.99,0.133434,17.445,0.296519999999999,0.105,0.14826,0.35,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Geno Smith","SEA","QB","2539335","robust",32.35,NA,21.73,NA,232.4175,12.5761545,1.065,NA,0.85,NA,3.655,0.14826,17.2,0.889560000000002,0.055,0.014826,0.25,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Daniel Jones","NYG","QB","2562299","robust",32.6325,NA,21.8925,NA,233.61,14.366394,1.0575,NA,0.575,NA,6.8,0.0889559999999994,39.43,1.571556,0.5,0.14826,0.25,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Brock Purdy","SF","QB","2568216","robust",28.75,NA,18.75,NA,225.55,12.82449,1.635,NA,0.63,NA,2.5,0.59304,7.6,0.770951999999999,0.1,0,0.15,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Skylar Thompson","MIA","QB","2567895","robust",26.9475,NA,16.41,NA,187.7025,16.1566335,0.96,NA,0.955,NA,1.8,0,7.485,2.920722,0,0,0.2,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Tyler Huntley","BAL","QB","2563560","robust",25.075,NA,15.525,NA,177.86,6.13796399999998,0.7,NA,0.89,NA,6.65,0.37065,29.5,3.55824,0.15,0.029652,0.25,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Shoulder",19,2022
