"","player","team","position","id","avg_type","pass_att","pass_att_sd","pass_comp","pass_comp_sd","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_att","rush_att_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","return_tds","return_tds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","injury_status","injury_details","week","season_year"
"1","Patrick Mahomes","KC","QB","2558125","robust",37.4175,NA,25.3475,NA,307.2525,5.5560435,2.4025,NA,0.35,NA,4.25,0.148259999999999,23.78,2.81694,0.2,0,0.1,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Joe Burrow","CIN","QB","2563722","robust",34.1175,NA,22.7575,NA,271,5.08531800000001,1.7225,NA,0.75,NA,3.5,0.59304,12.8,1.77912,0.125,0.07413,0.25,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Josh Allen","BUF","QB","2560955","robust",33.34,NA,21.32,NA,268.13875,4.61088600000002,2,NA,0.8975,NA,7.9,0.0148259999999997,43.995,9.04386,0.44,0.118608,0.25,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Dak Prescott","DAL","QB","2555260","robust",34.035,NA,22.42,NA,256.13,9.08833799999999,1.625,NA,0.8325,NA,3.8,0,15.4,1.18608,0.1,0,0.25,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Daniel Jones","NYG","QB","2562299","robust",31.7775,NA,20.845,NA,225,14.826,1.0925,NA,0.555,NA,7.2,0.148260000000001,42.39,1.4826,0.35,0.0593040000000001,0.25,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Trevor Lawrence","JAC","QB","2566163","robust",35.055,NA,22.43,NA,255.1375,0.259455000000017,1.485,NA,0.75,NA,3.73,0.14826,17.7,0.889559999999999,0.2,0,0.35,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Toe",20,2022
"7","Brock Purdy","SF","QB","2568216","robust",30.6025,NA,19.95,NA,235.5,4.4478,1.69,NA,0.62,NA,2.455,0.281694,6.5,3.246894,0.15,0.133434,0.1,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Jalen Hurts","PHI","QB","2564832","robust",31.445,NA,20.145,NA,244.3425,6.9052095,1.6475,NA,0.6,NA,9.7,0.163086000000002,49.03,6.760656,0.75,0.0444779999999999,0.25,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Christian McCaffrey","SF","RB","2557997","robust",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8975,NA,70.4275,2.99485199999999,0.6,0.14826,0.0666666666666667,0.04942,0,NA,0,NA,4,0,36.535,3.26172,0.2,0.103782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Saquon Barkley","NYG","RB","2560968","robust",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.4125,NA,73.86,5.57457600000001,0.60767005547497,0.0820472484943813,0.0666666666666667,0.04942,0,NA,0,NA,3.8,0.192738000000001,25.65,2.416638,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Miles Sanders","PHI","RB","2562722","robust",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.68,NA,72.77,4.10680199999999,0.6,0.103782,0.1,0,0,NA,0,NA,1.2,0,7,1.4826,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Travis Etienne","JAC","RB","2566157","robust",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,70.4,0.593040000000008,0.59,0.133434,0.133333333333333,0.04942,0,NA,0,NA,2.5,0.44478,20.35,1.03782,0.06,0.029652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Isiah Pacheco","KC","RB","2567808","robust",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.95,NA,58.5175,2.8873635,0.476508706088635,0.088956,0.133333333333333,0.04942,0,NA,0,NA,1.3,0.14826,11.5,3.7065,0.05,0.029652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Tony Pollard","DAL","RB","2562699","robust",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.0025,NA,54.725,4.188345,0.478847692522842,0.265159588934365,0.0666666666666667,0.04942,0,NA,0,NA,2.5,0.0444780000000004,21.65,0.103782,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Joe Mixon","CIN","RB","2557976","robust",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5825,NA,53.085,1.356579,0.456241324946922,0.137114776732613,0.0666666666666667,0.04942,0,NA,0,NA,3.37,0.696822,26.62,4.210584,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Ezekiel Elliott","DAL","RB","2555224","robust",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.41,NA,43.05,2.2239,0.300811463107141,0.00240615040529442,0.0666666666666667,0.04942,0,NA,0,NA,1.285,0.14826,7,1.4826,0.05,0.07413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
