"","player","team","position","id","avg_type","pass_att","pass_att_sd","pass_comp","pass_comp_sd","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_att","rush_att_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","return_tds","return_tds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","injury_status","injury_details","week","season_year"
"1","Matt Ryan","ATL","QB","310","robust",40.7,2.9652,27.23,0.889559999999997,317.69,5.9304,1.9,0.14826,0.8,0,2.085,0.29652,7.225,1.971858,0.0788300263592966,0,0.25,0.07413,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Patrick Mahomes","KC","QB","2558125","robust",35.805,0.444779999999996,24.15,1.03782,290.65,6.22691999999998,2.15,0.148259999999999,0.5,0,3.7,0.29652,19.4575,1.015581,0.15,0.0858952847108918,0.09625,0.0111195,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Aaron Rodgers","GB","QB","2506363","robust",36.8,2.37215999999999,23.4,1.304688,276.775,3.26172000000007,2,0,0.345,0.133434,2.82,0.44478,12.15,1.633331,0.1,0,0.2,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Dak Prescott","DAL","QB","2555260","robust",36.165,0.444779999999996,24.0625,0.593039999999998,296.6775,2.66868000000002,2.05,0.0741300000000004,0.6,0.14826,3.645,0.163086,17.58125,1.321985,0.2,0.00350890240466884,0.2,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Deshaun Watson","HOU","QB","2558063","robust",34.5,1.601208,22.0825,2.37216,257.95,18.38424,1.57,0.266868,0.815,0,5.4925,0.103781999999999,29.68125,2.2239,0.2,0,0.1875,0.037065,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Tom Brady","TB","QB","2504211","robust",35.85,0.889560000000002,22.705,1.304688,271.325,7.70951999999998,2,0,0.55,0.118608,1.8,0.29652,3.3,0.511497,0.0992371388144176,0.00226203598748883,0.1,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Philip Rivers","IND","QB","2506121","robust",34.55,0.815429999999996,22.8,1.18608,267.7,12.30558,1.7,0.400302,0.95,0.07413,0.8,0.44478,1.75,0.3291372,0.002,0,0.1875,0.0185325,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Jared Goff","LAR","QB","2555334","robust",36.915,0.696821999999998,23.08,0.578213999999996,280.45,9.48863999999997,1.65,0.29652,0.95,0.103782,2.945,1.33434,6.98,1.541904,0.0961963476833145,0,0.2125,0.037065,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Matthew Stafford","DET","QB","79860","robust",35.7525,0.459605999999993,22.7925,0.845082,272.675,7.26473999999997,1.7,0.29652,0.8,0.14826,2.3,0.59304,7.93375,0.7413,0,0,0.2125,0.037065,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Ben Roethlisberger","PIT","QB","2506109","robust",34.825,0.296520000000004,23.1,0.148260000000002,264.775,3.55823999999997,1.8,0.237216,0.865,0.103782,1.725,0.29652,4.625,0.7413,0.05,0.0724975239307254,0.0875,0.037065,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Russell Wilson","SEA","QB","2532975","robust",32.9575,0.7413,22.1025,1.18608,260.45,4.15128000000002,1.97,0,0.5,0.0741300000000001,4.25,0.0889559999999994,23.0975,1.541904,0.092665440977789,0,0.1475,0.0704235,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Kyler Murray","ARI","QB","2562382","robust",35.65,0.704234999999997,23.905,1.18608,257,11.8608,1.615,0.467019,0.8,0.0667170000000001,6.7,0.51891,40.337,2.74281,0.4,0.113861266548077,0.133333333333333,0.02471,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Drew Brees","NO","QB","2504775","robust",33.6,1.18608,23.3,1.18608,264.1,10.67472,1.95,0.103782,0.5,0.14826,1.175,0.29652,2,0.32123,0.05,0.0710026814814815,0.0975,0.00741300000000001,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Kirk Cousins","MIN","QB","2532820","robust",33,1.586382,22.65,0.889559999999999,258.65,12.37971,1.7,0.14826,0.65,0.088956,2.4,0.481844999999999,7.907,0.6034182,0.05,0.0328155048450922,0.2,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Derek Carr","LVR","QB","2543499","robust",33.45,0.800603999999999,22.3,0.96369,253,12.82449,1.34,0.0741300000000001,0.64,0.07413,1.4,0.289107,4.418,1.4826,0.085,0.0210641841693183,0.2,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Baker Mayfield","CLE","QB","2560800","robust",34,2.2239,20.49,1.067472,251,4.15128000000002,1.8,0.029652,1,0,2.15,0.118608,8.91,0.874734,0.1,0.0129481996844061,0.133333333333333,0.04942,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Carson Wentz","PHI","QB","2555259","robust",36.16,0.192738000000004,23.1,0.444780000000001,256.6,11.8608,1.715,0.029652,0.75,0.14826,3.1,0,11.80375,0.444779999999998,0.05,0.0695241070293884,0.4,0.14826,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Teddy Bridgewater","CAR","QB","2543465","robust",36.8,0.889560000000002,23.25,0.978516,249.2,11.460498,1.155,0.14826,0.6,0.29652,2.9,1.33434,9.75,2.14977,0.035991443452381,0.0533609140625,0.1,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Josh Allen","BUF","QB","2560955","robust",34.25,1.4826,20.55,1.55673,239.025,18.01359,1.5,0.29652,0.8,0.192738,8.5,0.7413,48.17,5.33736,0.7,0.134480781538911,0.4,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Sam Darnold","NYJ","QB","2561036","robust",33.8,4.15128,20.35,3.587892,221.31,21.230832,1.2,0.29652,1.1,0.29652,2.31,0.29652,7.5375,0.500377499999999,0.084514211969433,0,0.166666666666667,0.04942,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
