"","player","team","position","id","avg_type","pass_att","pass_att_sd","pass_comp","pass_comp_sd","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_att","rush_att_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","return_tds","return_tds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","injury_status","injury_details","week","season_year"
"1","Patrick Mahomes","KC","QB","2558125","robust",37.06,1.33434,24.615,0.415127999999999,286.3275,1.4826,1.9975,0.0741300000000002,0.625,0.103782,3.2575,0.22239,17.8,1.697577,0.11,0.07413,0.15,0.037065,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Jalen Hurts","PHI","QB","2564832","robust",30.2125,1.890315,19.91,1.586382,235.55,5.077905,1.35,0.192738,0.63,0.103782,9.8,0.200151,47.12,4.74432,0.765,0.14826,0.25,0.037065,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Isiah Pacheco","KC","RB","2567808","robust",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.17,1.823598,55.975,1.089711,0.4075,0.00741300000000001,0.1,0,0,NA,0,NA,2.5175,0.37065,19.18,1.378818,0.055,0.07413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Miles Sanders","PHI","RB","2562722","robust",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.2675,0.244629,59.9425,4.425561,0.5,0.088956,0.1,0,0,NA,0,NA,1,0.07413,7.12,3.7065,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Kenneth Gainwell","PHI","RB","2566397","robust",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9575,1.119363,24.8775,0.741300000000003,0.1325,0.096369,0,0,0,NA,0,NA,1.525,0.51891,12.275,3.965955,0.0475,0.066717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Jerick McKinnon","KC","RB","2543715","robust",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.405,0.607866,21.805,4.89258,0.085,0.103782,0.1,0,0,NA,0,NA,3.435,0.51891,28.1375,2.07564,0.2,0.14826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Boston Scott","PHI","RB","2561146","robust",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.15,0.29652,9.225,1.18608,0.09,0.07413,0,0,0,NA,0,NA,0.255,0.118608,1.3425,1.163841,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Ronald Jones","KC","RB","2560770","robust",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,1.92738,6.1,7.26474,0.05,0.07413,0,0,NA,NA,NA,NA,0.15,0.22239,1.7,1.92738,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","DeVonta Smith","PHI","WR","2566409","robust",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.025,0.02471,0,0,0,0,0,NA,0,NA,5.41,0.459606000000001,67.4075,4.81845,0.4,0.07413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","A.J. Brown","PHI","WR","2562238","robust",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.075,0.02471,0,0,0.05,0.037065,0,NA,0,NA,5.075,0.244629,71.8175,1.4826,0.425,0.081543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
