"","player","team","position","id","avg_type","pass_att","pass_att_sd","pass_comp","pass_comp_sd","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_att","rush_att_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","return_tds","return_tds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","injury_status","injury_details","season_year","week"
"1","Jared Goff","DET","QB","12611","robust",35.705,0.904385999999999,24.435,0.696822000000001,273.7,5.11496999999998,1.745,0.355824,0.7375,0.22239,1.84,0.252042,4.4475,2.14977,0.09,0.00741300000000001,0.116875,0.01667925,0.09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Tua Tagovailoa","MIA","QB","14778","robust",33.85,1.18073423719284,23.2,0.357069355585695,273.255,4.59605999999995,1.93,0.207564,0.8,0.0667170000000001,2.48841954874403,0.706961645935783,6.8975,0.882147,0.05,0.051891,0.183125,0.01667925,0.03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Patrick Mahomes","KC","QB","13116","robust",38.55,1.26021,25.925,0.37065,284.2,24.75942,2,0.14826,0.8175,0.14826,4.65,0.355824,24.75,1.319514,0.1,0,0.10375,0.0037065,0.09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","C.J. Stroud","HOU","QB","16150","robust",34.4828818883533,1.534491,21.7171571971287,1.68173452092589,269.5,4.89999299999997,1.935,0.0741300000000001,0.4,0.252042,2.35,0.0741300000000001,9.92,0.303933,0.105,0.014826,0.245,0.0333585,0.07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Dak Prescott","DAL","QB","12620","robust",35,0.447080433507815,24.1,0.293927287835183,266.645,11.949756,1.9,0.0667169999999999,0.75,0.22239,4.0690940574819,0.35109730075467,16.275,0.778365000000001,0.2,0,0.1275,0.00741300000000001,0.06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Sam Howell","WAS","QB","15693","robust",36.075,1.03782,23.3775,1.178667,262,8.8956,1.7375,0.214977,0.9,0.14826,3.75,0.200151,17.4675,1.727229,0.1,0,0.14,0.029652,0.07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Brock Purdy","SF","QB","15698","robust",30.9605799057911,2.27751053665162,20.9952843596907,1.304688,263.4675,7.11648000000002,1.7525,0.22239,0.5425,0.126021,3.295,0.578214,11.9925,2.2239,0.15,0.07413,0.1375,0.02779875,0.06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Justin Herbert","LAC","QB","14779","robust",35.6226654287195,0.7413,24,0.444780000000001,261.75,5.1891,1.715,0.244629,0.8025,0.14826,3.975,0.37065,14.25,3.11346,0.18,0.00741300000000001,0.0575,0.02038575,0.13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Geno Smith","SEA","QB","11150","robust",34.0247552206715,1.534491,22.2075,0.70865017660718,252.385,9.6369,1.4,0.22239,0.83,0.177912,2.85,0.22239,11.8,0.941451,0.0575,0.07413,0.1775,0.022239,0.03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Joe Burrow","CIN","QB","14777","robust",37.85,2.379573,25,1.593795,254.2625,12.364884,1.6775,0.170499,0.85,0.133434,4.0075,1.26021,14.975,5.85627,0.1,0.014826,0.086875,0.01297275,0.16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
