"","player","team","position","id","avg_type","pass_att","pass_att_sd","pass_comp","pass_comp_sd","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_att","rush_att_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","return_tds","return_tds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","injury_status","injury_details","season_year","week"
"1","Nick Mullens","MIN","QB","13968","robust",34.4068302408372,0.566101515065259,22.28,0.770951999999999,254.5225,14.551719,1.25,0.29652,0.915,0.103782,1.59969464018366,0.666264547072588,7.25,2.876244,0.07,0.07413,0.11125,0.0111195,0.09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Dak Prescott","DAL","QB","12620","robust",36.12,0.845082000000006,24.582475880473,0.863578740389233,272.5925,9.65172599999999,1.95,0.0741300000000001,0.725,0.22239,3.615,0.212176946911253,14.925,1.26021,0.1125,0.037065,0.115,0.014826,0.09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Brock Purdy","SF","QB","15698","robust",30.55,1.09406244266908,21.4575,0.816989626941083,274.5,9.6369,1.95,0.0741300000000001,0.55,0.170499,3.05,0.44478,11.75,3.7065,0.15,0.07413,0.090625,0.00926625,0.05,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Patrick Mahomes","KC","QB","13116","robust",35.975,1.77911999999999,24.095,0.904386000000002,258.55,6.6717,1.8075,0.22239,0.81,0.133434,4.3721963625784,0.222390000000001,22.5,0.7413,0.1,0,0.085,0.014826,0.09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Matthew Stafford","LAR","QB","9431","robust",33.9,0.296519999999994,21.42,0.830256000000001,259.685,7.90225799999998,1.95,0.14826,0.82,0.14826,1.375,0.44478,4.325,0.51891,0.025,0,0.06,0.014826,0.09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Geno Smith","SEA","QB","11150","robust",29.775,6.12438852622059,19.9430346387979,3.2823736890365,234.2075,36.153201,1.325,0.615279,0.75,0.22239,1.90515592042578,0.7413,8.5025,3.120873,0.085,0.022239,0.094375,0.00555975,0.03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Groin",2023,15
"7","Tua Tagovailoa","MIA","QB","14778","robust",31.7075,0.833704443002854,21.77,0.222390000000001,252.3,5.14462200000002,1.565,0.200151,0.9,0.14826,2.15,0.22239,6.3,0.615279,0.0475,0.051891,0.2625,0.02779875,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Josh Allen","BUF","QB","13589","robust",36.15,1.18608,23.8125,1.77886435970343,255.45,4.4478,1.85,0.163086,0.95,0.0741300000000001,6.88131782049871,0.203656398657225,37.025,2.490768,0.55,0.14826,0.194375,0.00555975,0.22,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Jared Goff","DET","QB","12611","robust",34.5571560086446,0.815429999999996,23.025,1.052646,256.9,7.33887000000002,1.65,0.0741299999999999,0.7975,0.140847,1.875,0.29652,4.55,1.33434,0.095,0.00741300000000001,0.2275,0.02038575,0.16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Sam Howell","WAS","QB","15693","robust",36.9,1.475187,24.0599419585452,0.7413,256.795,8.16912599999999,1.3725,0.14826,0.95,0.0741300000000001,3.435,0.244629,17.35,0.96369,0.1975,0.00741300000000001,0.1425,0.03150525,0.1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
