"","player","team","position","id","avg_type","pass_att","pass_att_sd","pass_comp","pass_comp_sd","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_att","rush_att_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","return_tds","return_tds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","injury_status","injury_details","season_year","week"
"1","Tua Tagovailoa","MIA","QB","14778","robust",33.5557216941633,0.882146999999998,23.28,0.415127999999999,283.875,11.868213,2,0.0741300000000001,0.7925,0.0815430000000001,2.25,0.29652,5.78,1.11195,0.0475,0.059304,0.2375,0.02779875,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Dak Prescott","DAL","QB","12620","robust",37.45,1.4826,25.2782261613598,1.18608,287.0775,15.685908,2.14,0.133434,0.7,0.14826,3.5,0.228694662173356,14.97,1.393644,0.15,0.037065,0.095,0.0037065,0.09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Jared Goff","DET","QB","12611","robust",34.6,0.7413,23.355,0.526323000000001,258.4,5.1891,1.6,0.14826,0.8,0.266868,1.85,0.244629,4.2525,2.00151,0.0775,0.022239,0.225,0.0185325,0.16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Brock Purdy","SF","QB","15698","robust",29.85,1.25293548510821,20.475,0.763181564845522,268.35,8.8956,1.9,0.14826,0.5425,0.126021,3.375,0.37065,12.6675,4.07715,0.15,0.07413,0.109375,0.00926625,0.05,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Patrick Mahomes","KC","QB","13116","robust",37.35,0.978516,25.1175,0.911799,264.9675,17.0499,1.9575,0.14826,0.85,0.163086,4.6,0.577162564524069,25.45,1.63086,0.1,0,0.10375,0.0037065,0.09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Justin Herbert","LAC","QB","14779","robust",36.7846678877223,1.838424,24.4,1.022994,264.6,13.758528,1.715,0.37065,0.8,0.214977,5.18204208493511,1.5331331902496,21.3625,1.964445,0.15,0.029652,0.08875,0.0111195,0.09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Geno Smith","SEA","QB","11150","robust",34.2975,1.623447,22.7812705481765,0.611633429452857,246.55,9.71103,1.2,0.214977,0.9,0.088956,2.59416454274415,0.536213297855042,9.85,0.481845,0.1,0,0.175625,0.02409225,0.03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Groin",2023,14
"8","C.J. Stroud","HOU","QB","16150","robust",32.1833925670042,0.271897819840397,20.4,0.444779999999998,247.6,14.67774,1.2525,0.363237,0.6525,0.229803,3.5,0.66717,14.2975,3.365502,0.135,0.051891,0.23,0.022239,0.07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Josh Allen","BUF","QB","13589","robust",36.4947430145914,1.39288198686657,24.4296029668652,1.28868471734864,258.075,7.00528499999999,1.8,0.229803,0.95,0.0741300000000001,6.22346331609783,0.148259999999999,36.1125,1.712403,0.4,0.022239,0.21125,0.0111195,0.22,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Jalen Hurts","PHI","QB","14783","robust",32.56,2.201661,21.225,1.11195,242.9225,7.361109,1.4025,0.140847,0.855,0.140847,9.35,0.96369,40.2925,3.239481,0.7425,0.22239,0.2275,0.02038575,0.13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Jordan Love","GB","QB","14782","robust",33.05,0.593040000000003,20.28,0.711648000000001,234.2175,7.805889,1.66,0.274281,0.9,0.126021,3.53580021915804,0.688222595076286,16.25,1.33434,0.11,0.029652,0.055,0.014826,0.1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Jake Browning","CIN","QB","14358","robust",33.85,0.292681970777108,22.2506900534634,0.359916293059611,240.7,5.04084000000001,1.35,0.14826,0.8175,0.0889559999999999,3.525,0.7413,16,3.232068,0.15,0,0.13125,0.0037065,0.05,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Matthew Stafford","LAR","QB","9431","robust",31.805,1.319514,20.1887568197654,1.475187,223.5,15.404214,1.1575,0.22239,0.845,0.22239,1.4225,0.59304,4.8,0.88956,0,0,0.08875,0.0111195,0.09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Gardner Minshew","IND","QB","14067","robust",33.825,0.222389999999998,21.7802528886566,0.303183134555535,243.095,3.49152300000001,1.125,0.185325,0.8325,0.200151,2.54480881521884,0.44478,8.2,1.77912,0.1,0.07413,0.27,0.051891,0.13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
