"","player","team","position","id","avg_type","pass_att","pass_att_sd","pass_comp","pass_comp_sd","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_att","rush_att_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","return_tds","return_tds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","idp_solo","idp_solo_sd","idp_sack","idp_sack_sd","idp_int","idp_int_sd","idp_pd","idp_pd_sd","idp_td","idp_td_sd","injury_status","injury_details","season_year","week"
"1","Patrick Mahomes","KC","QB","13116","robust",629.126583288719,27.739446,415.3975,17.7912,4916.64,217.845830999999,38.375,1.03782,11.13,0.192738,62.6017498067247,3.81991947310004,343.0225,23.061843,3,0.177912,1.355,0.0333584999999999,2.73,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Justin Herbert","LAC","QB","14779","robust",646.796368146639,33.297915705019,435.155436613392,23.441200646029,4672.06,198.846312,30.0875,1.4826,12.135,1.03782,54.3306642268132,6.011943,205.275,26.204955,1.5,0.140847,1.48875,0.0111194999999999,2.66,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Joe Burrow","CIN","QB","14777","robust",608.400129177747,28.3919815189282,412.86,19.807536,4591.1425,104.130411000001,33.4175,0.748713000000004,13.115,0.770952000000002,66.775,5.9304,257.4875,33.692085,3.625,0.66717,1.9625,0.037065,2.66,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Calf",2023,0
"4","Kirk Cousins","MIN","QB","10700","robust",611.118140711075,15.4841459141902,402.005,11.04537,4451.615,110.4537,30.5175,0.845082,12.5,0.444780000000001,30.25,1.18608,98.125,6.115725,1.3775,0.452193,2.350625,0.24648225,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Josh Allen","BUF","QB","13589","robust",596.2375,26.76093,375.765614796665,14.60361,4341.76,187.578552,32.6,2.37216,14.1675,1.015581,122.0075,8.8956,689.06,31.06047,6.23,1.208319,3.8475,0.0518909999999999,2.66,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Jared Goff","DET","QB","12611","robust",582.25,21.260484,380.895782974917,10.074267,4273.5525,167.90445,28.05,3.343263,10.5,1.638273,31.8174734906737,1.01191380272714,81.825,3.343263,0.8025,0.822843,3.47625,0.1223145,3.76,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Dak Prescott","DAL","QB","12620","robust",566.6125,18.60663,371.63406964721,9.83705099999999,4130.1925,124.708899,29.575,1.808772,13.6575,0.681996000000001,58.6525,4.29954,243.9,41.127324,2,0.845082,2.82,0.177912,2.62,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Matthew Stafford","LAR","QB","9431","robust",537.298099777786,26.83506,356.370123662327,15.396984341766,4022.2325,167.481909,24.9,2.438877,14,1.4826,28.5733357276421,3.054156,67.6875,20.422815,0.9,0.185325,2.805,0.00370649999999992,1.41,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Tua Tagovailoa","MIA","QB","14778","robust",533.830949607756,14.4890597366105,351.075,21.1295877271987,4135.3,227.749599,26.7,0.896973000000001,12.0525,1.045233,39.1691363732528,3.78063,125.825,14.826,1.4325,0.385476,1.43,0.274281,0.94,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Aaron Rodgers","NYJ","QB","7836","robust",578.586294016936,25.9493370190193,370.025,11.78667,4085,122.3145,27.82,1.33434,9.49,1.77912,36.6,5.611641,122.3275,26.6868,1.57,0.459606,2.8725,0.09451575,1.06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
