"","player","team","position","id","avg_type","pass_att","pass_att_sd","pass_comp","pass_comp_sd","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_att","rush_att_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","return_tds","return_tds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","idp_solo","idp_solo_sd","idp_sack","idp_sack_sd","idp_int","idp_int_sd","idp_pd","idp_pd_sd","idp_td","idp_td_sd","injury_status","injury_details","season_year","week"
"1","Patrick Mahomes","KC","QB","13116","robust",37.55,0.148260000000002,24.95,0.355824,294.25,8.82146999999998,2.1,0.14826,0.775,0.170499,4.1925,0.274281,22.7275,2.142357,0.17,0.00741300000000001,0.094375,0.00555975,0.17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Kirk Cousins","MIN","QB","10700","robust",37.921669358791,1.393644,25.4097812567023,0.971102999999999,278.6225,21.356853,1.9,0.0741300000000001,0.825,0.111195,1.8,0.126021,5.7175,0.719061,0.085,0.014826,0.24,0.029652,0.13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Justin Herbert","LAC","QB","14779","robust",38.1157657734948,2.38698599999999,25.6786172494427,1.92738,285.205,12.23145,1.915,0.0815429999999999,0.8175,0.244629,3.635,0.44478,12.5,2.2239,0.1,0,0.085,0.014826,0.16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Tua Tagovailoa","MIA","QB","14778","robust",35.4,0.7413,22.8394535274919,0.363236999999999,278.425,10.874871,1.8,0.14826,0.85,0.103782,2.9455700749288,0.505774386178889,8.5775,1.712403,0.085,0.022239,0.1775,0.022239,0.06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Jimmy Garoppolo","LVR","QB","11760","robust",32.575,1.816185,21.3,1.85325,238.3,20.630379,1.3,0.14826,0.95,0.0741300000000001,2.925,0.37065,6.5075,3.40998,0.09,0.007413,0.11875,0.0185325,0.03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Jared Goff","DET","QB","12611","robust",35.1279080795256,1.94341603740937,23.0971891767614,1.26021,260.235,14.492415,1.8075,0.244629,0.71,0.266868,2,0.22239,5.0875,1.000755,0.05,0.051891,0.2225,0.01667925,0.24,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Joe Burrow","CIN","QB","14777","robust",35.55,1.88749892863451,24.435,0.637518,269.425,5.71542300000003,1.9175,0.111195,0.7975,0.0963690000000001,3.06813101851674,1.70499,12.5,3.7065,0.1675,0.029652,0.086875,0.01297275,0.16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Matthew Stafford","LAR","QB","9431","robust",33.15,1.297275,22.15,0.370650000000003,247.3,12.846729,1.25,0.289107,0.9,0.14826,1.925,0.29652,5,1.252797,0.075,0.00741300000000001,0.113125,0.01297275,0.09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Josh Allen","BUF","QB","13589","robust",35.8525,0.421283771195856,23.3461390700467,0.518910000000002,271.39,0.778365000000008,2,0.14826,0.9,0.14826,7.00164603007642,0.449660808382606,40.615,0.763539000000001,0.35,0.07413,0.27375,0.0259455,0.16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Trevor Lawrence","JAC","QB","15237","robust",36,1.4826,23.6118796999693,0.637518,257,5.9304,1.8,0.29652,0.8,0.229803,4.1,0.148259999999999,19.7,0.444780000000001,0.2,0,0.283125,0.01667925,0.19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
